Timestamp,Mode,Query,Input Tokens,Cached Read Tokens,Output Tokens,Response Time (ms),Actual Cost ($),Base Cost (No Cache) ($),Savings ($),Savings (%),Cache Status
2026-05-18T09:28:35.783Z,Simulation,Summarize the structure of this codebase.,8094,0,120,5820,0.00295890,0.00295890,0.00000000,0.00,Cold (Cache Written)
2026-05-18T09:28:37.315Z,Simulation,What are the core architectural patterns in this codebase?,8097,8079,110,790,0.00040456,0.00294945,0.00254489,86.28,Hot (Cache Hit)
2026-05-18T09:30:27.339Z,Simulation,hello,8099,8079,66,4871,0.00035906,0.00290395,0.00254488,87.64,Hot (Cache Hit)
2026-05-18T09:30:43.958Z,Simulation,hi,8099,8079,66,4887,0.00035906,0.00290395,0.00254488,87.64,Hot (Cache Hit)
2026-05-18T09:31:03.050Z,Simulation,what is prompt engineering ?,8099,8079,66,4940,0.00035906,0.00290395,0.00254488,87.64,Hot (Cache Hit)
2026-05-18T09:33:10.082Z,Live,hello,10031,8876,183,13816,0.00090706,0.00370300,0.00279594,75.50,Hot (Cache Hit / Fallback)
2026-05-18T09:35:07.081Z,Live,hello,10275,9054,20,3165,0.00076524,0.00361725,0.00285201,78.84,Hot (Cache Hit / Fallback)
2026-05-18T09:37:20.233Z,Live,What allowed extensions does utils.js search for?,9534,9514,57,4105,0.00039984,0.00339675,0.00299691,88.23,Hot (Cache Hit / Fallback)
2026-05-18T09:38:05.506Z,Live,what allowed extensions does utils.js search for ?,9534,9514,57,4091,0.00039984,0.00339675,0.00299691,88.23,Hot (Cache Hit / Fallback)
2026-05-18T09:42:33.553Z,Live,hello,9534,9514,37,2581,0.00037884,0.00337575,0.00299691,88.78,Hot (Cache Hit / Fallback)
2026-05-18T09:42:57.350Z,Simulation,Summarize the structure of this codebase.,9529,0,120,5820,0.00346115,0.00346115,0.00000000,0.00,Cold (Cache Written)
2026-05-18T09:42:58.892Z,Simulation,What are the core architectural patterns in this codebase?,9532,9514,110,790,0.00045479,0.00345170,0.00299691,86.82,Hot (Cache Hit)
2026-05-18T09:44:07.066Z,Simulation,Summarize the structure of this codebase.,9529,0,120,5820,0.03461150,0.03461150,0.00000000,0.00,Cold (Cache Written)
2026-05-18T09:44:08.576Z,Simulation,What are the core architectural patterns in this codebase?,9532,9514,110,790,0.00454790,0.03451700,0.02996910,86.82,Hot (Cache Hit)
2026-05-18T09:44:31.193Z,Live,hello,9534,9514,37,2623,0.00378840,0.03375750,0.02996910,88.78,Hot (Cache Hit / Fallback)
2026-05-18T09:45:18.720Z,Simulation,Summarize the structure of this codebase.,9529,0,120,5820,0.03461150,0.03461150,0.00000000,0.00,Cold (Cache Written)
2026-05-18T09:45:20.228Z,Simulation,What are the core architectural patterns in this codebase?,9532,9514,110,790,0.00454790,0.03451700,0.02996910,86.82,Hot (Cache Hit)
2026-05-18T09:45:37.912Z,Live,hello,9534,9514,37,2569,0.00378840,0.03375750,0.02996910,88.78,Hot (Cache Hit / Fallback)
2026-05-18T09:49:26.131Z,Live,Explain what codebase_explainer.js is,9534,9514,66,4535,0.00409290,0.03406200,0.02996910,87.98,Hot (Cache Hit / Fallback)
2026-05-18T09:58:45.159Z,Live,what is measure_savings.js ?,9534,9514,47,3154,0.00389340,0.03386250,0.02996910,88.50,Hot (Cache Hit / Fallback)
